id,name,line
1,Kwangbok,green
2,Potonggang,green
3,Hwsnggumbol,green
4,Konsol,green
5,Hyoksin,green
6,Chosung,green+red
7,Samhung,green
8,Rakwon,green
9,Pulgunbyol,red
10,Kaeson,red
11,Sunghi,red
12,Ponghwa,red
13,Yanggwang,red
14,Puhung,red
